"","binSent[, 1]","binSent[, 2]","binSent[, 5]","SentimentLM","binSent[, 12]"
"5067",44,"positive","positive","positive","positive"
"5068",6,"positive","positive","positive","positive"
"5069",112,"positive","positive","positive","positive"
"5070",15,"positive","positive","positive","positive"
"5071",31,"positive","positive","positive","positive"
"5072",182,"positive","positive","positive","positive"
"5073",52,"positive","positive","negative","positive"
"5074",52,"positive","positive","positive","positive"
"5075",34,"positive","positive","positive","positive"
"5076",123,"positive","positive","positive","positive"
"5077",27,"positive","positive","positive","positive"
"5078",99,"positive","positive","positive","positive"
"5079",53,"positive","positive","positive","positive"
"5080",38,"positive","positive","negative","positive"
"5081",118,"negative","positive","negative","positive"
"5082",125,"positive","positive","negative","positive"
"5083",62,"negative","positive","negative","negative"
"5084",31,"positive","positive","positive","positive"
"5085",26,"positive","positive","positive","positive"
"5086",23,"positive","positive","positive","positive"
"5087",39,"positive","positive","negative","positive"
"5088",60,"negative","positive","positive","positive"
"5089",28,"positive","positive","positive","positive"
"5090",149,"positive","positive","positive","positive"
"5091",41,"positive","positive","positive","positive"
"5092",59,"positive","positive","negative","positive"
"5093",28,"positive","positive","negative","positive"
"5094",18,"positive","positive","positive","positive"
"5095",89,"positive","positive","positive","positive"
"5096",119,"positive","positive","positive","positive"
"5097",76,"positive","positive","negative","positive"
"5098",92,"positive","positive","positive","positive"
"5099",51,"positive","positive","positive","positive"
"5100",38,"positive","positive","positive","positive"
"5101",75,"positive","positive","negative","positive"
"5102",23,"positive","positive","positive","positive"
"5103",16,"positive","positive","positive","positive"
"5104",66,"positive","positive","positive","positive"
"5105",109,"negative","negative","negative","positive"
"5106",1,"positive","positive","positive","positive"
"5107",44,"positive","positive","positive","positive"
"5108",12,"positive","positive","negative","positive"
"5109",36,"positive","positive","positive","positive"
"5110",110,"positive","positive","positive","positive"
"5111",37,"positive","positive","positive","positive"
"5112",150,"positive","positive","positive","positive"
"5113",50,"positive","positive","positive","positive"
"5114",61,"positive","positive","positive","positive"
"5115",50,"positive","positive","positive","positive"
"5116",137,"positive","positive","negative","positive"
"5117",22,"positive","positive","positive","positive"
"5118",27,"positive","positive","negative","positive"
"5119",75,"positive","positive","negative","positive"
"5120",29,"positive","positive","positive","positive"
"5121",60,"positive","positive","positive","positive"
"5122",123,"positive","positive","positive","positive"
"5123",156,"positive","positive","positive","positive"
"5124",83,"positive","positive","positive","positive"
"5125",80,"positive","positive","positive","positive"
"5126",76,"positive","positive","positive","positive"
"5127",39,"positive","positive","positive","positive"
"5128",95,"positive","positive","positive","positive"
"5129",54,"positive","positive","positive","positive"
"5130",86,"positive","positive","positive","positive"
"5131",41,"positive","positive","positive","positive"
"5132",29,"positive","positive","positive","positive"
"5133",32,"positive","positive","positive","positive"
"5134",27,"positive","positive","positive","positive"
"5135",60,"positive","positive","positive","positive"
"5136",40,"positive","positive","positive","positive"
"5137",137,"positive","positive","positive","positive"
"5138",79,"positive","positive","negative","positive"
"5139",45,"positive","positive","positive","positive"
"5140",295,"positive","positive","negative","positive"
"5141",45,"positive","positive","positive","positive"
"5142",10,"positive","positive","positive","positive"
"5143",91,"positive","positive","positive","positive"
"5144",28,"positive","positive","positive","positive"
"5145",19,"positive","positive","positive","positive"
"5146",213,"positive","positive","positive","positive"
"5147",33,"positive","positive","positive","positive"
"5148",61,"positive","positive","positive","positive"
"5149",82,"positive","positive","positive","positive"
"5150",14,"positive","positive","positive","positive"
"5151",48,"positive","positive","positive","positive"
"5152",11,"positive","positive","positive","positive"
"5153",60,"positive","positive","positive","positive"
"5154",12,"positive","positive","positive","positive"
"5155",46,"negative","positive","negative","negative"
"5156",315,"positive","positive","negative","positive"
"5157",4,"positive","positive","positive","positive"
"5158",76,"positive","positive","negative","positive"
"5159",41,"positive","positive","positive","positive"
"5160",61,"positive","positive","negative","positive"
"5161",56,"positive","positive","positive","positive"
"5162",54,"positive","positive","positive","positive"
"5163",127,"negative","positive","negative","positive"
"5164",10,"positive","positive","positive","positive"
"5165",49,"positive","positive","positive","positive"
"5166",33,"negative","positive","negative","negative"
"5167",37,"positive","positive","positive","positive"
"5168",45,"positive","positive","positive","positive"
"5169",62,"positive","negative","positive","positive"
"5170",46,"positive","positive","positive","positive"
"5171",20,"negative","positive","negative","negative"
"5172",16,"positive","positive","positive","positive"
"5173",39,"positive","positive","positive","positive"
"5174",57,"positive","positive","positive","positive"
"5175",27,"positive","positive","positive","positive"
"5176",188,"negative","negative","negative","positive"
"5177",124,"positive","negative","negative","positive"
"5178",7,"positive","positive","positive","positive"
"5179",27,"positive","positive","positive","positive"
"5180",110,"positive","positive","positive","positive"
"5181",118,"positive","positive","negative","positive"
"5182",23,"negative","negative","negative","positive"
"5183",128,"positive","positive","positive","positive"
"5184",87,"negative","positive","negative","positive"
"5185",49,"positive","positive","positive","positive"
"5186",52,"positive","positive","positive","positive"
"5187",89,"positive","positive","positive","positive"
"5188",59,"positive","positive","positive","positive"
"5189",45,"positive","positive","positive","positive"
"5190",57,"negative","positive","negative","positive"
"5191",25,"negative","positive","positive","positive"
"5192",277,"positive","positive","positive","positive"
"5193",146,"positive","positive","negative","positive"
"5194",82,"positive","positive","positive","positive"
"5195",51,"positive","positive","positive","positive"
"5196",32,"positive","positive","positive","positive"
"5197",13,"positive","positive","positive","positive"
"5198",81,"positive","positive","negative","positive"
"5199",91,"positive","positive","positive","positive"
"5200",21,"positive","positive","positive","positive"
"5201",3,"negative","positive","positive","positive"
"5202",18,"positive","positive","positive","positive"
"5203",7,"positive","positive","positive","positive"
"5204",7,"positive","positive","positive","positive"
"5205",72,"positive","positive","positive","positive"
"5206",78,"positive","positive","positive","positive"
"5207",88,"positive","positive","positive","positive"
"5208",73,"positive","positive","positive","positive"
"5209",46,"positive","positive","positive","positive"
"5210",151,"positive","positive","negative","positive"
"5211",138,"positive","positive","positive","positive"
"5212",50,"positive","positive","positive","positive"
"5213",88,"positive","positive","positive","positive"
"5214",18,"positive","positive","negative","positive"
"5215",43,"positive","positive","positive","positive"
"5216",120,"positive","positive","positive","positive"
"5217",63,"positive","positive","positive","positive"
"5218",64,"positive","positive","positive","positive"
"5219",39,"positive","positive","negative","positive"
"5220",128,"positive","positive","positive","positive"
"5221",23,"positive","positive","positive","positive"
"5222",21,"positive","positive","positive","positive"
"5223",63,"positive","positive","negative","positive"
"5224",89,"negative","negative","negative","positive"
"5225",76,"positive","positive","positive","positive"
"5226",52,"positive","positive","positive","positive"
"5227",16,"positive","positive","positive","positive"
"5228",31,"positive","positive","positive","positive"
"5229",18,"positive","positive","positive","positive"
"5230",38,"positive","positive","negative","negative"
"5231",24,"positive","positive","positive","positive"
"5232",146,"positive","positive","positive","positive"
"5233",24,"positive","positive","positive","positive"
"5234",90,"positive","positive","positive","positive"
"5235",28,"positive","positive","positive","positive"
"5236",12,"positive","positive","positive","positive"
"5237",8,"positive","positive","positive","positive"
"5238",15,"positive","positive","positive","positive"
"5239",25,"positive","positive","positive","positive"
"5240",75,"positive","positive","negative","negative"
"5241",168,"positive","negative","negative","positive"
"5242",6,"positive","positive","positive","positive"
"5243",4,"positive","positive","positive","positive"
"5244",63,"positive","positive","negative","positive"
"5245",9,"positive","positive","positive","positive"
"5246",27,"positive","negative","negative","negative"
"5247",4,"positive","positive","positive","positive"
"5248",111,"positive","positive","negative","positive"
"5249",41,"positive","positive","positive","positive"
"5250",8,"positive","positive","positive","positive"
"5251",37,"positive","negative","positive","positive"
"5252",132,"positive","positive","positive","positive"
"5253",141,"positive","positive","positive","positive"
"5254",25,"negative","positive","positive","positive"
"5255",55,"positive","positive","negative","positive"
"5256",16,"positive","positive","positive","positive"
"5257",115,"positive","positive","positive","positive"
"5258",30,"positive","positive","positive","positive"
"5259",57,"positive","positive","negative","positive"
"5260",93,"positive","positive","negative","positive"
"5261",34,"positive","positive","positive","positive"
"5262",17,"negative","positive","positive","negative"
"5263",19,"positive","positive","positive","negative"
"5264",365,"positive","positive","negative","positive"
"5265",41,"positive","positive","negative","positive"
"5266",102,"positive","positive","positive","positive"
"5267",62,"positive","positive","positive","positive"
"5268",26,"positive","positive","positive","positive"
"5269",41,"positive","positive","negative","positive"
"5270",162,"positive","positive","positive","positive"
"5271",85,"positive","positive","positive","negative"
"5272",25,"positive","positive","positive","positive"
"5273",4,"negative","positive","positive","positive"
"5274",43,"positive","positive","positive","positive"
"5275",64,"positive","positive","negative","positive"
"5276",73,"positive","positive","positive","positive"
"5277",38,"positive","positive","positive","positive"
"5278",141,"positive","positive","positive","positive"
"5279",281,"positive","positive","positive","positive"
"5280",46,"positive","positive","positive","positive"
"5281",66,"positive","positive","positive","positive"
"5282",152,"negative","positive","negative","positive"
"5283",32,"positive","positive","positive","positive"
"5284",4,"positive","positive","positive","positive"
"5285",83,"positive","positive","positive","positive"
"5286",19,"positive","positive","positive","positive"
"5287",44,"positive","positive","negative","positive"
"5288",106,"positive","positive","positive","positive"
"5289",35,"positive","positive","positive","positive"
"5290",4,"positive","positive","negative","positive"
"5291",162,"positive","positive","positive","positive"
"5292",26,"positive","positive","positive","positive"
"5293",51,"positive","positive","positive","positive"
"5294",23,"positive","positive","positive","positive"
"5295",18,"positive","positive","positive","positive"
"5296",125,"positive","positive","positive","positive"
"5297",204,"positive","positive","negative","positive"
"5298",109,"positive","positive","negative","positive"
"5299",40,"positive","positive","positive","positive"
"5300",103,"positive","positive","positive","positive"
"5301",106,"positive","positive","positive","positive"
"5302",32,"positive","positive","positive","positive"
"5303",132,"positive","positive","negative","positive"
"5304",48,"positive","positive","positive","positive"
"5305",45,"positive","positive","positive","positive"
"5306",41,"positive","positive","positive","positive"
"5307",53,"positive","positive","positive","positive"
"5308",66,"positive","positive","positive","positive"
"5309",29,"positive","positive","positive","positive"
"5310",44,"positive","positive","positive","positive"
"5311",22,"positive","positive","positive","positive"
"5312",23,"positive","positive","negative","positive"
"5313",75,"positive","positive","positive","positive"
"5314",75,"negative","positive","negative","negative"
"5315",40,"positive","positive","negative","positive"
"5316",115,"positive","positive","negative","positive"
"5317",30,"positive","positive","positive","positive"
"5318",86,"positive","positive","positive","positive"
"5319",58,"positive","positive","positive","positive"
"5320",82,"positive","positive","positive","positive"
"5321",17,"positive","positive","positive","positive"
"5322",29,"positive","positive","positive","positive"
"5323",63,"positive","positive","positive","positive"
"5324",35,"negative","positive","negative","positive"
"5325",23,"positive","positive","positive","positive"
"5326",53,"positive","positive","positive","positive"
"5327",37,"positive","positive","positive","positive"
"5328",109,"positive","positive","positive","positive"
"5329",69,"positive","positive","negative","positive"
"5330",25,"positive","positive","negative","positive"
"5331",20,"positive","positive","positive","positive"
"5332",14,"positive","positive","positive","positive"
"5333",168,"positive","positive","negative","positive"
"5334",32,"positive","positive","positive","positive"
"5335",13,"positive","positive","positive","positive"
"5336",262,"positive","positive","positive","positive"
"5337",81,"positive","positive","positive","positive"
"5338",9,"positive","positive","positive","positive"
"5339",15,"positive","positive","positive","positive"
"5340",34,"positive","positive","positive","positive"
"5341",17,"positive","positive","positive","positive"
"5342",16,"positive","positive","positive","positive"
"5343",28,"positive","positive","positive","positive"
"5344",86,"positive","positive","negative","positive"
"5345",209,"positive","positive","positive","positive"
"5346",16,"positive","positive","positive","positive"
"5347",24,"positive","positive","positive","positive"
"5348",8,"positive","positive","positive","positive"
"5349",71,"positive","positive","positive","positive"
"5350",70,"positive","positive","positive","negative"
"5351",161,"positive","positive","positive","positive"
"5352",22,"positive","positive","positive","positive"
"5353",44,"positive","positive","positive","positive"
"5354",96,"positive","positive","positive","positive"
"5355",45,"positive","positive","positive","positive"
"5356",49,"positive","positive","positive","positive"
"5357",53,"positive","positive","positive","positive"
"5358",26,"positive","positive","positive","positive"
"5359",10,"positive","positive","positive","positive"
"5360",272,"positive","positive","positive","positive"
"5361",112,"positive","positive","negative","positive"
"5362",60,"positive","positive","positive","positive"
"5363",82,"negative","positive","negative","positive"
"5364",39,"positive","positive","positive","positive"
"5365",56,"positive","positive","positive","positive"
"5366",149,"positive","positive","negative","positive"
"5367",74,"positive","positive","negative","positive"
"5368",64,"positive","positive","positive","positive"
"5369",33,"positive","positive","positive","positive"
"5370",164,"positive","positive","positive","positive"
"5371",17,"positive","positive","negative","positive"
"5372",98,"positive","positive","positive","positive"
"5373",88,"positive","positive","positive","positive"
"5374",45,"positive","positive","positive","positive"
"5375",15,"positive","positive","positive","positive"
"5376",121,"positive","positive","positive","positive"
"5377",23,"negative","positive","negative","positive"
"5378",23,"positive","positive","positive","positive"
"5379",28,"positive","positive","positive","positive"
"5380",79,"positive","positive","positive","positive"
"5381",28,"positive","positive","positive","positive"
"5382",75,"positive","positive","positive","positive"
"5383",76,"positive","positive","positive","positive"
"5384",86,"positive","positive","positive","positive"
"5385",7,"positive","positive","positive","positive"
"5386",36,"positive","positive","positive","positive"
"5387",24,"positive","positive","positive","positive"
"5388",42,"positive","positive","positive","negative"
"5389",359,"positive","positive","positive","positive"
"5390",75,"positive","positive","positive","positive"
"5391",69,"positive","positive","positive","positive"
"5392",30,"positive","positive","positive","positive"
"5393",55,"negative","positive","negative","negative"
"5394",35,"positive","positive","positive","positive"
"5395",73,"positive","positive","positive","positive"
"5396",21,"positive","positive","positive","positive"
"5397",28,"positive","negative","negative","negative"
"5398",13,"negative","positive","positive","positive"
"5399",88,"positive","positive","positive","positive"
"5400",75,"positive","negative","negative","positive"
"5401",113,"positive","positive","negative","positive"
"5402",6,"positive","positive","positive","positive"
"5403",34,"positive","positive","positive","positive"
"5404",73,"positive","positive","positive","positive"
"5405",77,"positive","negative","negative","positive"
"5406",77,"positive","positive","negative","positive"
"5407",36,"positive","positive","negative","positive"
"5408",103,"positive","positive","positive","positive"
"5409",241,"positive","negative","negative","positive"
"5410",43,"positive","positive","positive","positive"
"5411",37,"positive","positive","negative","positive"
"5412",30,"positive","positive","negative","positive"
"5413",20,"positive","positive","positive","positive"
"5414",28,"positive","positive","positive","positive"
"5415",262,"positive","positive","negative","positive"
"5416",79,"positive","positive","positive","positive"
"5417",108,"positive","positive","positive","positive"
"5418",12,"positive","positive","positive","positive"
"5419",61,"positive","positive","positive","positive"
"5420",29,"positive","positive","positive","positive"
"5421",20,"positive","positive","positive","positive"
"5422",18,"positive","positive","positive","positive"
"5423",140,"positive","positive","negative","positive"
"5424",26,"positive","negative","negative","negative"
"5425",24,"positive","positive","positive","positive"
"5426",77,"positive","positive","positive","positive"
"5427",69,"positive","positive","negative","positive"
"5428",131,"positive","negative","negative","negative"
"5429",46,"positive","negative","negative","negative"
"5430",86,"positive","positive","positive","positive"
"5431",59,"positive","positive","positive","positive"
"5432",65,"positive","positive","positive","positive"
"5433",26,"positive","positive","positive","positive"
"5434",77,"positive","positive","negative","positive"
"5435",37,"positive","positive","positive","positive"
"5436",68,"positive","positive","negative","positive"
"5437",23,"positive","positive","negative","positive"
"5438",25,"negative","positive","negative","negative"
"5439",211,"positive","positive","negative","positive"
"5440",65,"positive","positive","positive","positive"
"5441",63,"negative","positive","negative","positive"
"5442",33,"negative","positive","positive","positive"
"5443",43,"positive","positive","positive","positive"
"5444",38,"positive","positive","positive","positive"
"5445",15,"positive","positive","positive","positive"
"5446",286,"positive","positive","positive","positive"
"5447",99,"positive","positive","positive","positive"
"5448",38,"positive","positive","positive","positive"
"5449",22,"positive","positive","positive","positive"
"5450",12,"positive","positive","positive","positive"
"5451",35,"positive","positive","positive","positive"
"5452",149,"negative","positive","negative","positive"
"5453",36,"negative","positive","positive","positive"
"5454",105,"positive","positive","negative","positive"
"5455",67,"positive","positive","negative","positive"
"5456",78,"positive","positive","positive","positive"
"5457",68,"negative","positive","negative","positive"
"5458",127,"positive","positive","negative","positive"
"5459",123,"positive","positive","negative","positive"
"5460",36,"positive","positive","positive","positive"
"5461",29,"positive","positive","positive","positive"
"5462",51,"positive","positive","negative","positive"
"5463",21,"positive","positive","positive","positive"
"5464",40,"negative","positive","positive","positive"
"5465",66,"positive","positive","positive","positive"
"5466",51,"positive","positive","positive","positive"
"5467",14,"positive","positive","positive","positive"
"5468",64,"positive","positive","positive","positive"
"5469",77,"positive","positive","positive","positive"
"5470",156,"positive","positive","positive","positive"
"5471",135,"positive","positive","positive","positive"
"5472",74,"positive","positive","positive","positive"
"5473",53,"positive","positive","positive","positive"
"5474",10,"positive","positive","positive","positive"
"5475",31,"positive","positive","positive","positive"
"5476",37,"positive","positive","positive","positive"
"5477",57,"positive","positive","positive","positive"
"5478",21,"positive","positive","positive","positive"
"5479",141,"positive","negative","positive","positive"
"5480",285,"positive","positive","positive","positive"
"5481",34,"positive","positive","positive","positive"
"5482",209,"positive","positive","positive","positive"
"5483",30,"negative","positive","negative","negative"
"5484",21,"positive","positive","positive","positive"
"5485",59,"positive","positive","positive","positive"
"5486",55,"positive","positive","positive","positive"
"5487",16,"positive","positive","positive","positive"
"5488",8,"positive","positive","positive","positive"
"5489",38,"positive","positive","positive","positive"
"5490",51,"positive","positive","positive","positive"
"5491",102,"positive","positive","positive","positive"
"5492",139,"positive","positive","negative","positive"
"5493",322,"positive","positive","negative","positive"
"5494",72,"positive","positive","negative","positive"
"5495",69,"positive","positive","positive","positive"
"5496",85,"positive","positive","negative","positive"
"5497",25,"positive","positive","positive","positive"
"5498",46,"positive","positive","positive","positive"
"5499",34,"positive","positive","positive","positive"
"5500",31,"positive","positive","positive","positive"
"5501",66,"positive","negative","positive","positive"
"5502",41,"positive","positive","positive","positive"
"5503",22,"negative","positive","negative","negative"
"5504",58,"positive","positive","positive","positive"
"5505",489,"positive","positive","positive","positive"
"5506",277,"positive","positive","positive","positive"
"5507",47,"positive","positive","positive","positive"
"5508",48,"positive","positive","positive","positive"
"5509",105,"positive","negative","negative","positive"
"5510",48,"positive","positive","positive","positive"
"5511",45,"positive","positive","positive","positive"
"5512",121,"positive","positive","positive","positive"
"5513",9,"positive","positive","positive","positive"
"5514",56,"negative","positive","positive","positive"
"5515",120,"positive","positive","negative","positive"
"5516",46,"positive","positive","positive","positive"
"5517",21,"positive","positive","negative","negative"
"5518",46,"negative","positive","negative","negative"
"5519",10,"negative","positive","negative","negative"
"5520",156,"positive","positive","negative","positive"
"5521",105,"positive","positive","negative","positive"
"5522",58,"positive","positive","positive","positive"
"5523",23,"positive","positive","positive","positive"
"5524",14,"negative","positive","positive","negative"
"5525",44,"positive","positive","positive","positive"
"5526",103,"positive","positive","positive","positive"
"5527",122,"positive","positive","negative","negative"
"5528",77,"positive","positive","positive","positive"
"5529",23,"positive","positive","positive","positive"
"5530",48,"positive","positive","negative","positive"
"5531",39,"negative","positive","negative","positive"
"5532",31,"positive","positive","positive","positive"
"5533",8,"negative","positive","positive","negative"
"5534",22,"positive","positive","positive","positive"
"5535",86,"positive","positive","negative","positive"
"5536",106,"positive","positive","positive","positive"
"5537",12,"positive","positive","positive","positive"
"5538",57,"positive","positive","negative","positive"
"5539",90,"positive","positive","positive","positive"
"5540",2,"positive","positive","positive","positive"
"5541",26,"positive","positive","positive","positive"
"5542",39,"negative","positive","positive","negative"
"5543",5,"positive","positive","positive","positive"
"5544",56,"positive","negative","negative","positive"
"5545",117,"positive","positive","positive","positive"
"5546",89,"positive","positive","positive","positive"
"5547",116,"positive","positive","positive","positive"
"5548",122,"positive","positive","positive","positive"
"5549",213,"positive","positive","positive","positive"
"5550",101,"positive","positive","negative","positive"
"5551",36,"negative","positive","positive","positive"
"5552",51,"positive","positive","negative","positive"
"5553",43,"positive","positive","positive","positive"
"5554",38,"positive","positive","positive","positive"
"5555",101,"positive","positive","positive","positive"
"5556",214,"negative","positive","positive","negative"
"5557",52,"positive","positive","positive","positive"
"5558",63,"positive","positive","positive","positive"
"5559",24,"negative","positive","positive","negative"
"5560",55,"positive","positive","positive","positive"
"5561",87,"positive","positive","negative","positive"
"5562",8,"positive","positive","positive","positive"
"5563",24,"positive","positive","positive","positive"
"5564",27,"positive","positive","positive","positive"
"5565",9,"positive","positive","negative","positive"
"5566",37,"positive","positive","positive","positive"
"5567",33,"positive","positive","positive","positive"
"5568",41,"positive","positive","positive","positive"
"5569",20,"positive","positive","positive","positive"
"5570",61,"positive","positive","positive","positive"
"5571",92,"positive","positive","positive","positive"
"5572",56,"positive","positive","positive","positive"
"5573",72,"positive","positive","negative","positive"
"5574",43,"positive","positive","positive","positive"
"5575",20,"positive","positive","positive","positive"
"5576",11,"positive","positive","negative","positive"
"5577",89,"positive","positive","positive","positive"
"5578",5,"positive","positive","positive","positive"
"5579",3,"positive","positive","negative","positive"
"5580",15,"positive","positive","positive","positive"
"5581",13,"positive","positive","positive","positive"
"5582",39,"positive","positive","positive","positive"
"5583",34,"positive","positive","positive","positive"
"5584",10,"positive","positive","positive","positive"
"5585",99,"positive","positive","positive","positive"
"5586",64,"positive","positive","negative","positive"
"5587",23,"positive","positive","positive","positive"
"5588",42,"positive","positive","positive","positive"
"5589",30,"positive","positive","negative","positive"
"5590",21,"positive","positive","positive","positive"
"5591",44,"negative","positive","negative","negative"
"5592",159,"positive","positive","positive","positive"
"5593",174,"positive","positive","positive","positive"
"5594",25,"positive","positive","positive","positive"
"5595",65,"positive","positive","negative","positive"
"5596",38,"positive","positive","positive","positive"
"5597",32,"positive","positive","positive","positive"
"5598",56,"positive","positive","positive","positive"
"5599",72,"positive","negative","positive","positive"
"5600",19,"positive","positive","negative","positive"
"5601",166,"positive","positive","positive","positive"
"5602",33,"positive","positive","positive","positive"
"5603",67,"positive","positive","negative","positive"
"5604",34,"positive","positive","negative","positive"
"5605",29,"positive","positive","positive","positive"
"5606",17,"positive","positive","positive","positive"
"5607",25,"positive","positive","positive","positive"
"5608",4,"positive","positive","positive","positive"
"5609",18,"positive","positive","positive","positive"
"5610",126,"positive","positive","positive","positive"
"5611",92,"negative","negative","negative","negative"
"5612",22,"positive","positive","positive","positive"
"5613",32,"positive","positive","positive","positive"
"5614",51,"positive","positive","positive","positive"
"5615",325,"positive","positive","positive","positive"
"5616",105,"positive","positive","positive","positive"
"5617",6,"negative","positive","negative","negative"
"5618",29,"positive","positive","positive","positive"
"5619",19,"positive","positive","positive","positive"
"5620",103,"positive","positive","positive","positive"
"5621",46,"positive","positive","positive","positive"
"5622",39,"positive","positive","negative","positive"
"5623",72,"positive","positive","negative","positive"
"5624",11,"positive","positive","positive","positive"
"5625",160,"positive","positive","positive","positive"
"5626",24,"negative","positive","negative","positive"
"5627",5,"positive","positive","positive","positive"
"5628",27,"positive","positive","positive","positive"
"5629",43,"positive","positive","positive","positive"
"5630",122,"positive","positive","positive","positive"
"5631",222,"positive","positive","negative","positive"
"5632",62,"positive","positive","negative","positive"
"5633",26,"positive","positive","positive","positive"
"5634",120,"positive","positive","negative","positive"
"5635",7,"positive","positive","positive","positive"
"5636",104,"positive","positive","positive","positive"
"5637",9,"positive","positive","positive","positive"
"5638",96,"positive","positive","negative","positive"
"5639",134,"positive","positive","negative","positive"
"5640",141,"positive","positive","positive","positive"
"5641",39,"positive","positive","positive","positive"
"5642",48,"positive","positive","positive","positive"
"5643",42,"positive","positive","positive","positive"
"5644",110,"positive","positive","negative","positive"
"5645",11,"positive","positive","positive","positive"
"5646",58,"positive","positive","positive","positive"
"5647",104,"positive","positive","positive","positive"
"5648",32,"positive","positive","positive","positive"
"5649",17,"positive","positive","positive","positive"
"5650",29,"positive","positive","positive","positive"
"5651",27,"positive","positive","negative","positive"
"5652",52,"positive","positive","negative","negative"
"5653",68,"positive","positive","positive","positive"
"5654",148,"positive","positive","positive","positive"
"5655",69,"positive","positive","positive","positive"
"5656",119,"positive","negative","positive","positive"
"5657",41,"positive","positive","positive","positive"
"5658",41,"positive","positive","negative","positive"
"5659",101,"positive","positive","positive","positive"
"5660",28,"positive","positive","negative","positive"
"5661",86,"positive","positive","positive","positive"
"5662",286,"positive","positive","positive","positive"
"5663",31,"positive","negative","positive","positive"
"5664",19,"positive","positive","positive","positive"
"5665",53,"positive","positive","positive","positive"
"5666",67,"positive","positive","positive","positive"
"5667",68,"negative","positive","negative","positive"
"5668",48,"positive","positive","negative","positive"
"5669",16,"positive","positive","positive","positive"
"5670",7,"positive","positive","positive","positive"
"5671",80,"positive","positive","positive","positive"
"5672",31,"positive","negative","negative","positive"
"5673",17,"positive","positive","positive","positive"
"5674",69,"positive","positive","negative","positive"
"5675",119,"positive","positive","negative","positive"
"5676",34,"positive","positive","positive","positive"
"5677",69,"positive","negative","positive","positive"
"5678",33,"positive","positive","positive","positive"
"5679",130,"positive","positive","positive","positive"
"5680",85,"positive","positive","positive","positive"
"5681",86,"positive","positive","positive","positive"
"5682",22,"positive","positive","negative","positive"
"5683",123,"positive","positive","negative","positive"
"5684",36,"positive","positive","positive","positive"
"5685",29,"positive","positive","positive","positive"
"5686",7,"negative","positive","negative","negative"
"5687",81,"positive","positive","negative","positive"
"5688",113,"positive","positive","negative","positive"
"5689",74,"negative","positive","positive","positive"
"5690",119,"positive","positive","negative","positive"
"5691",17,"positive","positive","positive","positive"
"5692",29,"positive","positive","positive","positive"
"5693",37,"positive","positive","positive","positive"
"5694",52,"positive","positive","negative","positive"
"5695",23,"positive","positive","positive","positive"
"5696",90,"negative","positive","negative","positive"
"5697",18,"positive","positive","positive","positive"
"5698",61,"positive","positive","positive","positive"
"5699",62,"positive","positive","positive","positive"
"5700",226,"positive","negative","negative","positive"
"5701",5,"positive","positive","positive","positive"
"5702",39,"positive","positive","positive","positive"
"5703",45,"positive","positive","positive","positive"
"5704",82,"positive","positive","positive","positive"
"5705",117,"positive","positive","positive","positive"
"5706",47,"positive","positive","negative","positive"
"5707",219,"positive","positive","negative","positive"
"5708",178,"positive","positive","negative","positive"
"5709",77,"positive","positive","positive","positive"
"5710",21,"positive","positive","positive","positive"
"5711",95,"negative","positive","negative","positive"
"5712",48,"positive","positive","positive","positive"
"5713",6,"positive","positive","positive","positive"
"5714",62,"negative","positive","positive","positive"
"5715",124,"negative","negative","negative","negative"
"5716",44,"positive","positive","positive","positive"
"5717",122,"positive","positive","negative","positive"
"5718",30,"positive","positive","positive","positive"
"5719",37,"positive","negative","negative","positive"
"5720",64,"positive","negative","positive","positive"
"5721",54,"positive","positive","positive","positive"
"5722",64,"negative","positive","positive","positive"
"5723",40,"positive","positive","positive","positive"
"5724",13,"positive","positive","positive","positive"
"5725",56,"positive","positive","positive","positive"
"5726",48,"negative","positive","negative","negative"
"5727",68,"positive","positive","positive","positive"
"5728",71,"positive","positive","negative","positive"
"5729",16,"positive","positive","positive","positive"
"5730",139,"positive","positive","positive","positive"
"5731",104,"positive","positive","positive","positive"
"5732",164,"positive","positive","positive","positive"
"5733",83,"positive","positive","negative","positive"
"5734",184,"negative","positive","negative","positive"
"5735",25,"positive","positive","negative","positive"
"5736",56,"positive","positive","positive","positive"
"5737",112,"positive","positive","negative","positive"
"5738",21,"positive","positive","positive","positive"
"5739",81,"positive","positive","positive","positive"
"5740",26,"positive","positive","negative","positive"
"5741",64,"negative","negative","negative","positive"
"5742",70,"positive","positive","negative","positive"
"5743",109,"negative","positive","negative","negative"
"5744",40,"positive","positive","negative","positive"
"5745",47,"positive","positive","positive","positive"
"5746",67,"positive","positive","negative","positive"
"5747",32,"positive","positive","positive","positive"
"5748",40,"negative","positive","positive","positive"
"5749",71,"positive","positive","positive","positive"
"5750",56,"positive","positive","positive","positive"
"5751",37,"positive","positive","positive","positive"
"5752",35,"positive","negative","positive","positive"
"5753",61,"negative","positive","negative","positive"
"5754",42,"positive","positive","negative","positive"
"5755",32,"positive","positive","positive","positive"
"5756",30,"positive","positive","positive","positive"
"5757",23,"negative","positive","negative","positive"
"5758",62,"positive","positive","positive","positive"
"5759",57,"positive","positive","positive","positive"
"5760",69,"positive","positive","positive","positive"
"5761",43,"positive","positive","positive","positive"
"5762",26,"positive","positive","positive","positive"
"5763",79,"positive","positive","negative","positive"
